LOCODE,NAME,STATE
CYV,Cordova,WV
RFU,Corfu,NY
VJA,Corinna,ME
JCE,Corinne,UT
CRX,Corinth,MS
OIH,Corinth,NY
XEM,Corinth,TN
TX9,Corinth,TX
CZA,Cornelia,GA
CN7,Cornelius,NC
CZG,Cornelius,OR
CZH,Cornelius Pass,OR
CBA,Corner Bay,AK
CN8,Cornersville,TN
CGC,Corning,AR
CJG,Corning,CA
ADB,Corning,IA
OIG,Corning,NY
C35,Cornville,AZ
OQW,Cornwall,VT
NWL,"Cornwall, Town of",NY
CZD,Cornwells Heights,PA
ZZC,Corolla,NC
CZE,Corona,CA
QYC,Corona,NY
CM2,Corona del Mar,CA
CD4,Coronado,CA
CRP,Corpus Christi,TX
CE3,Corrales,NM
TO3,Corralitos,CA
CV4,Correctionville,IA
IGZ,Corrigan,TX
CYP,Corry,PA
4CO,Corsica,SD
CRS,Corsicana,TX
CZL,Corte Madera,CA
CEZ,Cortez,CO
TND,Cortland,IL
CJ8,Cortland,IN
CTX,Cortland,NY
ZB9,Cortland,OH
OXQ,Corunna,IN
C22,Corunna,MI
YCV,Corvallis,MT
CVL,Corvallis,OR
CVO,Corvallis-Albany Apt,OR
OWZ,Corwith,IA
CY8,Cory,IN
CZB,Corydon,IN
CD2,"Corydon, Wayne",IA
OCB,Cos Cob,CT
CB3,Cosby,TN
CSC,Coshocton,OH
CPS,Cosmopolis,WA
CZM,Costa Mesa,CA
IAO,Cotati,CA
OCZ,Coto de Caza,CA
C4C,Cottage City,MD
QGV,Cottage Grove,IL
AGG,Cottage Grove,MN
TGG,Cottage Grove,OR
CG9,Cottage Grove,TN
CG3,Cottage Grove,WI
2CH,Cottage Hills,IL
OTA,Cotton Plant,AR
TL9,Cotton Valley,LA
CD3,Cottondale,AL
CTM,Cottondale,FL
OTT,Cottonton,AL
CT4,Cottontown,TN
JTD,Cottonwood,AL
CTW,Cottonwood,AZ
CZV,Cottonwood,CA
CZW,Cottonwood,MN
DGH,Cottonwood Heights,UT
2TT,Cottrellville,MI
COT,Cotulla,TX
CZQ,Coudersport,PA
OJU,Coulee Dam,WA
JOU,Coulter,IA
CV6,Coulterville,IL
CUC,Counce,TN
CIL,Council,AK
OUC,Council,ID
CBF,Council Bluffs,IA
UGE,Council Grove,KS
CU9,Country Club Hills,IL
CBJ,Country Side,IL
3CS,Countryside,IL
CBL,Coupeville,WA
OPD,Coupland,TX
OUT,Courtdale,PA
CBP,Courtland,AL
URD,Courtland,CA
CBQ,Courtland,KS
CBR,Courtland,MN
VXQ,Courtland,VA
CH7,Coushatta,LA
CV7,Cove,AR
KOV,Cove,OR
CP6,Cove Point,MD
ZCJ,Coventry,CT
ADO,Coventry,RI
CJV,Covesville,VA
CVQ,Covina,CA
CVF,Covington,GA
OVT,Covington,IN
CVK,Covington,KY
CWT,Covington,LA
OVI,Covington,OH
VNG,Covington,PA
AAH,Covington,TN
CVJ,Covington,VA
VGB,Covington,WA
IWP,Covington Township,PA
ZWN,Cowan,TN
PA6,Cowansville,PA
ZJH,Coward,SC
CW2,"Cowen, Webster",WV
YHE,Cowiche,WA
C7W,Cowlesville,NY
CPQ,Cowpens,SC
C2C,Coxs Creek,KY
CS6,"Coxsackie, Greene",NY
C9Y,Coyanosa,TX
3CY,Coyote,NM
QCZ,Cozad,NE
CO2,Crab Orchard,TN
CO5,Crab Orchard,WV
C3T,Crabtree,NC
ZRA,Crabtree,PA
CFQ,Crafton,PA
CGA,Craig,AK
CIG,Craig,CO
GZG,Craigsville,WV
ZRC,Cramerton,NC
CPD,Cranberry Lake,NY
RYT,Cranberry Township,PA
CQE,Cranbury,NJ
KRA,Crandall,TX
RWZ,Crandon,WI
UFD,Crandon Lakes,NJ
ZCR,Crane,IN
ZVQ,Crane,MO
CCG,Crane,TX
CKR,Crane Island,WA
C8L,Crane Lake,MN
CQG,Cranford,NJ
CQH,Cranston,RI
4CR,Craryville,NY
CW8,Crawford,NE
CF6,Crawfordsville,AR
CFB,Crawfordsville,IN
RFV,Crawfordville,FL
FDI,Crawfordville,GA
EFP,Creal Springs,IL
CR3,Cream Ridge,NJ
ZCE,Creedmoor,NC
EMV,Creedmoor,TX
QAP,Creekside,PA
IGQ,Creighton,NE
CQK,Creighton,PA
RHA,Crenshaw,MS
EOZ,Creola,AL
ECJ,Crescent,GA
CQN,Crescent,IA
CEC,Crescent City,CA
TCJ,Crescent City,FL
3CL,Crescent Lake,OR
WJC,Crescent Township,PA
CFK,Cresco,IA
CTG,Cresco,PA
CYJ,Cresskill,NJ
CR8,Cresson,PA
ZJQ,Cresson,TX
CJA,Cressona,PA
CH5,Crest Hill,IL
CSE,Crested Butte,CO
GKM,Crestline,CA
RZN,Crestline,KS
C7R,Crestline,OH
C8T,Creston,CA
CSQ,Creston,IA
OHR,Creston,OH
C3E,Crestone,CO
CEW,Crestview,FL
RHS,Crestview Hills,KY
CWB,Crestwood,IL
CW7,Crestwood,KY
CW9,Crestwood,MO
ERX,Creswell,OR
CQQ,Crete,IL
EE5,Crete,ND
CTF,Crete,NE
CXD,Creve Coeur,IL
C4Q,Creve Coeur,MO
VGW,Crewe,VA
C74,Crimora,VA
UCZ,Cripple Creek,CO
CRI,Crisfield,MD
ITD,Crittenden,KY
CQ7,Crivitz,WI
CRM,Crockett,CA
KHT,Crockett,KY
XOK,Crockett,TX
OFN,Crofton,KY
ZCN,Crofton,MD
RFT,Crofton,NE
ZCW,Cromwell,CT
XYX,Cromwell,IN
C8W,Cromwell,KY
CKD,Crooked Creek,AK
CKN,Crookston,MN
OOS,Crooksville,OH
3RP,Cropsey,IL
CW3,Cropwell,AL
CGM,Crosby,MN
CSY,Crosby,ND
CJY,Crosby,TX
CXY,Crosbyton,TX
CTY,Cross City,FL
CXG,Cross Junction,VA
XL4,Cross Lanes,WV
UOP,Cross Plains,TN
CXH,Cross Plains,WI
C2S,Cross Roads,TX
CRT,Crossett,AR
CK4,Crosslake,MN
9CR,Crossnore,NC
XRD,Crossroads,GA
QCR,Crossroads,TX
CR9,Crossville,AL
7CR,Crossville,IL
CSV,Crossville,TN
CXA,Croswell,MI
CVH,Crothersville,IN
CYO,Croton,OH
C9F,Croton Falls,NY
THU,Croton-on-Hudson,NY
OZC,Crow Agency,MT
CWL,Crowley,LA
OZY,Crowley,TX
YOX,Crown Point,IN
NRC,Crows Landing,CA
V7X,Croxton,NJ
CRF,Croydon,PA
CZR,Crozet,VA
ULC,Crum Lynne,PA
UMK,Crump,TN
C3R,Crystal,MI
YSA,Crystal,MN
N8V,Crystal Bay,NV
CCM,Crystal City,MO
CYY,Crystal City,TX
CZ4,Crystal Falls,MI
9CH,Crystal Hill,VA
CTD,Crystal Lake,IL
CYE,Crystal Lake,PA
2CL,Crystal Lawns,IL
YAU,Crystal Mountain,WA
CJF,Crystal River,FL
CYH,Crystal Springs,MS
JCB,Cuba,IL
OCU,Cuba,MO
CUA,Cuba,NM
NYB,Cuba,NY
CY4,Cuba City,WI
CUW,Cube Cove,AK
CUY,Cudahy,CA
CUD,Cudahy,WI
YCB,Cuddy,PA
9CY,Cudjoe Key,FL
CR4,Cuero,TX
4CU,Culbertson,MT
ULB,Culbertson,NE
QUB,Culebra,NM
UDN,Cullen,LA
UOZ,Culleoka,TN
CUL,Cullman,AL
CN4,Culloden,WV
UOH,Cullowhee,NC
AAR,Culpeper,VA
KUV,Culver,IN
CV8,Culver,OR
CVR,Culver City,CA
4CM,Cumberland,IL
UMC,Cumberland,IN
HXD,Cumberland,KY
CBE,Cumberland,MD
CUE,Cumberland,RI
5CV,Cumberland,VA
ZCU,Cumberland,WI
UDT,Cumberland Center,ME
UDC,Cumberland City,TN
QCU,Cumberland Furnace,TN
CMG,Cumming,GA
IUU,Cumming,IA
C9U,Cummington,MA
CUO,Cupertino,CA
KUR,Currie,NC
CU8,Curryville,PA
ICU,Curtis,NE
USB,"Curtis Bay, Baltimore",MD
TSS,Curtiss,WI
CUI,Curwensville,PA
CUH,Cushing,OK
XHW,Cushing,TX
JWS,Cusseta,AL
USR,Custar,OH
USE,Custer,SD
UTR,Custer,WA
UTE,Custer,WI
CUF,Cut and Shoot,TX
CTB,Cut Bank,MT
UOF,Cut Off,LA
UTC,Cutchogue,NY
CUG,Cutler,CA
XUT,Cutler,IL
2CU,Cutler,IN
CI4,Cutler Ridge,FL
CUJ,Cuyahoga Falls,OH
CU5,Cuyahoga Heights,OH
YDL,Cyclone,WV
YJA,Cynthiana,IN
CAZ,Cynthiana,KY
CYQ,Cypress,CA
4CY,Cypress,FL
CYX,Cypress,TX
YXB,Cypress Bend,AR
DCQ,Dacono,CO
DQL,Dacula,GA
DDB,Dade City,FL
DDL,Dadeville,AL
DAG,Daggett,CA
D5W,Dagsboro,DE
DCK,Dahl Creek,AK
DQG,Dahlgren,IL
DGN,Dahlgren,VA
DHL,Dahlonega,GA
DAI,Dailey,WV
DFG,Daingerfield,TX
D8R,Dairy,OR
DKO,Dakota,IL
KOF,Dakota,MN
DAK,Dakota City,IA
DKC,Dakota City,NE
DTD,Dakota Dunes,SD
DBO,Dalbo,MN
OA8,Dale,IN
YDE,Dale,WI
DC2,Dale City,VA
DVY,Daleville,AL
DKV,Daleville,IN
DV4,Daleville,VA
DHT,Dalhart,TX
IJS,Dalies,NM
DLX,Dallas,GA
ZCO,Dallas,IA
DLB,Dallas,MO
DAC,Dallas,NC
DAE,Dallas,OR
DSP,Dallas,PA
DAL,Dallas,TX
DC6,Dallas Center,IA
DCX,Dallas City,IL
DFW,Dallas-Fort Worth Int Apt,TX
DAZ,Dallastown,PA
DL6,Dalmatia,PA
DLR,Dal-nor,TX
DNN,Dalton,GA
QDT,Dalton,MA
DT8,Dalton,MN
DN4,Dalton,NH
QDL,Dalton,OH
DPQ,Dalton,PA
DTG,Dalton Gardens,ID
DXL,Daly City,CA
DZL,Dalzell,SC
AR5,Damascus,AR
DAM,Damascus,GA
ZWF,Damascus,MD
DSC,Damascus,OR
D3U,Damascus,PA
DMU,Damascus,VA
DPT,Dana Point,CA
DAH,Danboro,PA
DXR,Danbury,CT
DAU,Danbury,NH
DUY,Danbury,TX
DBZ,Danbury,WI
DNY,Danby,VT
DAX,Dandridge,TN
DNE,Dane,WI
DV6,Danevang,TX
DGB,Danger Bay,AK
DAD,Dania Beach,FL
DI8,Daniel Island,SC
DIS,Daniels,WV
DSO,Danielson,CT
DA4,Danielsville,GA
DNW,Danielsville,PA
DA5,Dannebrog,NE
NY6,Dansville,MI
DSV,Dansville,NY
YYS,Danvers,IL
DVR,Danvers,MA
DV9,Danvers,MN
NDJ,Danville,AL
DZV,Danville,AR
SXC,Danville,CA
DLV,Danville,IA
DVI,Danville,IL
DLI,Danville,IN
DIH,Danville,KS
DVK,Danville,KY
DHE,Danville,NH
DIL,Danville,NY
AGK,Danville,OH
DAP,Danville,PA
DAN,Danville,VA
AAT,Danville,WA
DHA,Daphne,AL
DXB,Darby,MT
DBB,Darby,PA
DAR,Dardanelle,AR
DAQ,Darien,CT
DIE,Darien,GA
DII,Darien,IL
DDR,Darien,WI
DIR,Darien Center,NY
DIF,Darlington,IN
DIT,Darlington,MD
DLP,Darlington,PA
DRN,Darlington,SC
DGY,Darlington,WI
DN3,Darrington,WA
DRR,Darrow,LA
DQT,Dartmouth,MA
DA7,Dassel,MN
DL3,Dateland,AZ
EIP,Dauberville,PA
DA8,Dauphin,PA
DVT,Davant,LA
DAV,Davenport,CA
DVP,Davenport,FL
DVN,Davenport,IA
DTY,David City,NE
DAO,Davidson,NC
DV2,Davidsonville,MD
DA3,Davidsville,PA
DVF,Davie,FL
DVE,Davie,NC
DAS,Davis,CA
DVS,Davis,OK
DJ9,Davis Junction,IL
DFB,Davis Monthan AFB,AZ
DBG,Davisburg,MI
DVO,Davison,MI
DVV,Davisville,RI
III,"Davisville, Wood",WV
TDD,Dawn,TX
DAW,Dawson,GA
DWM,Dawson,MN
DSG,Dawson Springs,KY
DVX,Dawsonville,GA
DYC,Days Creek,OR
DT5,Dayton,IL
DY2,Dayton,KY
JYT,Dayton,MN
QYT,Dayton,MT
DYT,Dayton,NJ
DYJ,Dayton,NV
DYD,Dayton,NY
DAY,Dayton,OH
XET,Dayton,OR
DAT,Dayton,TN
DTX,Dayton,TX
DYV,Dayton,VA
DYW,Dayton,WA
DAB,Daytona Beach,FL
DLK,Dayville,CT
IYV,Dayville,OR
DQU,De Beque,CO
DFO,De Forest,WI
DFN,De Funiak Springs,FL
DU5,De Funiak Springs,FL
DEK,De Kalb,IL
DKL,De Kalb,MS
DKB,De Kalb,TX
DLD,De Land,FL
ZCQ,De Leon,TX
DLF,De Leon Springs,FL
DRW,De Pere,WI
DQZ,De Queen,AR
DRI,De Ridder,LA
DNX,De Smet,SD
5FR,De Soto,IA
OT4,De Soto,IL
DZO,De Soto,KS
DSQ,De Soto,MO
Z2C,De Soto,TX
DT4,De Tour Village,MI
DWA,De Witt,AR
DWJ,De Witt,IA
DWT,De Witt,MI
DWX,De Witt,NE
DWN,De Witt,NY
DDW,Deadwood,SD
DAF,Deal,NJ
DEJ,Deans,NJ
D2E,Deansboro,NY
DEO,Dearborn,MI
DHG,Dearborn Heights,MI
DR4,Dearing,GA
DTH,Death Valley,CA
DB2,DeBary,FL
DCU,Decatur,AL
DTU,Decatur,AR
DCG,Decatur,GA
DEC,Decatur,IL
DCR,Decatur,IN
XEX,Decatur,MI
DSU,Decatur,NE
DTV,Decatur,TN
DEU,Decatur,TX
DT2,Decatur City,IA
DTR,Decatur Island,WA
8DV,Decaturville,TN
DCH,Decherd,TN
DKR,Decker,IN
9DP,Decker Prairie,TX
DCL,Declo,ID
DEH,Decorah,IA
DED,Dedham,MA
WDB,Deep Bay,AK
E5P,Deep Gap,NC
DEQ,Deep River,CT
DPW,Deepwater,NJ
DE8,Deer,AR
DR9,Deer Creek,MN
DGR,Deer Grove,IL
YUO,Deer Harbor,WA
JDS,Deer Island,OR
DLQ,"Deer Lake, Schuylkill",PA
DEG,Deer Lodge,MT
DL7,Deer Lodge,TN
DP5,Deer Park,CA
FJY,Deer Park,IL
5DP,Deer Park,LA
ERP,Deer Park,MD
DPK,Deer Park,NY
XFA,Deer Park,OH
DPC,Deer Park,PA
DEX,Deer Park,TX
DP2,"Deer Park, Camden",NJ
DMT,Deer River,MN
DRD,Deerfield,IL
DDE,Deerfield,MA
DLZ,Deerfield,MI
DFM,Deerfield,MO
DFE,Deerfield,NH
DJ3,Deerfield,NJ
DFL,Deerfield,OH
DFD,Deerfield,WI
DEE,Deerfield Beach,FL
DRG,Deering,AK
DPA,Deerpark,FL
DWD,Deerwood,MN
DFX,Defense,TX
DEF,Deferiet,NY
DFA,Defiance,IA
DFC,Defiance,MO
DFI,Defiance,OH
DCB,DeKalb,IL
DBA,Del Bonita,MT
D2C,Del City,OK
DMA,Del Mar,CA
DM2,"Del Mar, San Diego",CA
DN2,Del Norte,CO
DLY,Del Rey,CA
EKS,Del Rey Oaks,CA
DRZ,Del Rio,TN
DRT,Del Rio,TX
DVM,Del Valle,TX
DFZ,Delafield,WI
DLA,Delair,NJ
DLJ,Delanco,NJ
DD5,Deland,FL
DNO,Delano,CA
DOX,Delano,MN
DLU,Delano,PA
DOQ,Delano,TN
D2L,Delanson,NY
DPX,Delaplane,VA
D9E,Delavan,IL
DEA,Delavan,WI
D3W,Delaware,NJ
DEL,Delaware,OH
DCI,Delaware City,DE
DWG,Delaware Water Gap,PA
VV7,Delbarton,WV
DON,DeLeon,TX
DVA,Delevan,NY
DHI,Delhi,IA
DHX,Delhi,LA
YDP,Delhi,NY
DIJ,Delhi,OH
DLE,Delisle,MS
LLR,Dell,AR
DC4,Dell City,TX
DQY,Dellroy,OH
DM3,Delmar,DE
DMM,Delmar,MD
DVQ,Delmont,PA
DJI,Deloit,IA
DEI,Delphi,IN
DEP,Delphos,OH
DRJ,Delran,NJ
DYB,Delray,WV
DEY,Delray Beach,FL
AL5,Delta,AL
DTC,Delta,CO
DA2,Delta,OH
DTA,Delta,UT
DJN,Delta Junction,AK
DN5,Delton,MI
DLT,Deltona,FL
DM8,Demarest,NJ
DMN,Deming,NM
DPM,Deming,WA
DMP,Demopolis,AL
OSQ,Demorest,GA
EYY,DeMotte,IN
YDI,Denair,CA
DNI,Denali,AK
FT3,Dendron,VA
DQQ,Denham,IN
DNM,Denham Springs,LA
DHF,Denhoff,ND
DNS,Denison,IA
DSZ,Denison,TX
ZC2,Denmark,NY
DMK,Denmark,SC
DXS,Denmark,WI
DJS,Dennis,MA
OH6,Dennison,OH
DJV,Dennisville,NJ
DTO,Denton,GA
ZDN,Denton,MD
DTE,Denton,MT
ENT,Denton,NC
DTQ,Denton,NE
DTN,Denton,TX
DE7,Dentonville,OK
DEN,Denver,CO
DTZ,Denver,MO
DID,Denver,NC
DAJ,Denver,NY
DNQ,Denver,PA
DVC,Denver City,TX
DNL,Denville,NJ
DPE,Depew,NY
DPO,Deport,TX
DPI,Deposit,NY
DPF,Deptford,NJ
DWB,Deptford Township,NJ
DE5,Depue,IL
QDQ,DeQuincy,LA
DCT,Derby,CT
DPB,Derby,KS
DPY,Derby,ME
ERB,Derby,NY
JYY,Derby,VT
DBX,Derby Center,VT
DBY,Derby Line,VT
DE3,Deridder,LA
DIM,Derma,MS
DEM,Dermott,AR
DNP,Derry,NH
QDR,Derry,PA
DW2,Derwood,MD
DSM,Des Moines,IA
DSN,Des Moines,WA
DPR,Des Peres,MO
DES,Des Plaines,IL
DJC,Descanso,CA
DTJ,Desert Center,CA
DDH,Desert Hills,AZ
DHS,Desert Hot Springs,CA
DE2,Desha,AR
DSR,Deshler,NE
DSH,Deshler,OH
DOT,DeSoto,TX
DSI,Destin,FL
NEW,Destrehan,LA
VOU,Detour,MD
7AL,Detroit,AL
DTT,Detroit,IL
DT7,Detroit,ME
DET,Detroit,MI
ZC3,Detroit,TX
DTL,Detroit Lakes,MN
VNS,Devens,MA
QDV,Devenscrest,MA
DVL,Devils Lake,ND
DVD,Devine,TX
DEV,Devon,PA
DE9,Dewey,AZ
DWO,Dewey,OK
YVC,Deweyville,UT
DWW,Dewitt,IA
DEZ,Dewitt,IL
DEW,Dewitt,NY
VW2,DeWitt,VA
DTI,Dewittville,NY
DWE,Dewy Rose,GA
XFB,Dexter,ME
YDX,Dexter,MI
DXE,Dexter,MO
DXI,Dexter,NM
DXT,Dexter,NY
XXT,Dexter,OH
DX2,Dexter City,OH
DHC,D'Hanis,TX
IOG,Di Giorgio,CA
DMD,Diamond,MO
DD7,Diamond,WA
DBR,Diamond Bar,CA
2DK,Diamond Lake,IL
DXG,Diamond Springs,CA
DD4,Diamondhead,MS
DM4,Diamondville,WY
DBE,Diberville,MS
DIB,Diboll,TX
DIK,Dickinson,ND
DSX,Dickinson,TX
ZKN,Dickson,TN
DSY,Dickson City,PA
DKS,Dierks,AR
D2H,Dieterich,IL
DGT,Dighton,MA
DKE,Dike,IA
DCY,Dill City,OK
DY3,Dilley,TX
DLG,Dillingham,AK
4DI,Dillon,CO
8DL,Dillon,GA
DLN,Dillon,MT
DLL,Dillon,SC
DMG,Dillsburg,PA
UFP,Dillwyn,VA
DWH,Dilworth,MN
DB3,Dime Box,TX
3DT,Dimmitt,TX
DML,Dimondale,MI
DIU,Dinuba,CA
DIO,Diomede Island,AK
DG9,Dirggs,ID
DYY,Discovery Bay,CA
DPV,Disputanta,VA
JHO,District Heights,MD
4DV,Divernon,IL
DV5,Divide,CO
YIX,Dix,NE
DI7,Dix Hills,NY
IXE,Dixie,GA
EXX,Dixie,LA
DMR,Dixmoor,IL
DXC,Dixon,CA
DXN,Dixon,IL
KDX,Dixon,KY
DIQ,Dixon,MO
3DX,Dixville Notch,NH
DB4,Dobbins,CA
DBF,Dobbs Ferry,NY
DOB,Dobson,NC
DDG,Dodge,NE
XEU,Dodge Center,MN
DDC,Dodge City,KS
DDV,Dodgeville,WI
DS4,Dodson,LA
DOE,Doe Run,KY
DU9,Doerun,GA
QDY,Dolgeville,NY
DXY,Dollar Bay,MI
DLO,Dolomi,AK
DOL,Dolomite,AL
ZDE,Dolores,CO
DQN,Dolton,IL
DMZ,Dominguez,CA
DIZ,Dominguez Hills,CA
DXO,Donald,OR
DDS,Donalds,SC
DD8,Donaldson,MN
DNA,Donaldsonville,LA
DSL,Donalsonville,GA
DNG,Dongola,IL
DPH,Doniphan,MO
DNH,Doniphan,NE
XEY,Donna,TX
DYX,Donnelly,AK
DL2,Donnelly,ID
DRP,Donora,PA
ZDV,Donovan,IL
QDO,Doon,IA
DO6,Dora,AL
DJO,Dora,NM
DOF,Dora Bay,AK
PDQ,Doral,FL
DRH,Doraville,GA
DQH,Dorchester,IL
DZM,Dorchester,MA
DC5,Dorchester,SC
DCS,Dorchester,WI
DDD,Dorr,MI
DNC,Dorrance,KS
DT3,Dorset,VT
DRS,Dorsey,MD
D2S,Dos Palos,CA
DOS,Doswell,VA
DHN,Dothan,AL
DMB,Double Springs,AL
DGZ,Douglas,AR
DUG,Douglas,AZ
DOU,Douglas,GA
3DL,Douglas,IL
DOG,"Douglas, Allegan",MI
DGW,Douglas/Converse,WY
UGW,Douglass,KS
DGL,Douglassville,PA
DGS,Douglaston/Queens/New York,NY
DGV,Douglasville,GA
DO2,Dousman,WI
DC7,Dove Creek,CO
XEZ,Dover,DE
DOR,Dover,FL
DO5,Dover,GA
DER,Dover,IL
DQV,Dover,KY
AOV,Dover,MA
D9V,Dover,MN
DRV,Dover,NH
DVJ,Dover,NJ
DOO,Dover,OH
OER,Dover,OK
DR2,Dover,PA
DZR,Dover,TN
VOI,Dover Plains,NY
DOV,Dover-Cheswold,DE
DOW,Dowagiac,MI
3DW,Dowling,TX
UFO,Downers Grove,IL
JDY,Downey,CA
DWZ,Downey,PA
DYH,Downieville,CA
DOI,Downing,WI
DNT,Downingtown,PA
4DO,Downs,IL
DQW,Downs,KS
DV8,Downsville,LA
DWQ,Downsville,NY
DXV,Downsville,WI
DOY,Doyle,CA
XFC,Doyle,TN
DYL,Doylestown,PA
XEV,Dracut,MA
DNR,Drain,OR
DK2,Drake,AZ
DSB,Drakesboro,KY
DRK,Draper,AR
DRQ,Draper,UT
DVB,Dravosburg,PA
DY9,Drayton,ND
DMI,Drayton Plains,MI
D2R,Dresden,ME
AAU,Dresden,NY
DSD,Dresden,TN
DR8,Dresden,TX
DRC,Dresher,PA
DSW,Dresser,WI
DRM,Drew,MS
DRL,Drexel,MO
DRX,Drexel,NC
DRF,Drift River,AK
DBW,Driftwood,TX
DGX,Driggs,ID
TDS,Dripping Springs,TX
DRU,Drummond,MT
DRE,Drummond Island,MI
DH3,Drumright,OK
UMS,Drums,PA
DRY,Dry Branch,GA
DFK,"Dry Fork, Pittsylvania",VA
DDJ,Dry Ridge,KY
YDA,Dryden,MI
DYN,Dryden,TX
DR3,Drytown,CA
DU4,Du Bois,PA
ABX,Du Pont,WA
DUU,Du Quoin,IL
URT,Duart,NC
DUB,Duarte,CA
DQB,Dublin,CA
DBN,Dublin,GA
DZI,Dublin,NH
DUO,Dublin,OH
DUI,Dublin,PA
DBL,Dublin,TX
PSK,Dublin,VA
DBS,Dubois,ID
DB5,Dubois,IL
DBI,Dubois,IN
DUJ,Dubois,PA
DBV,Dubois,WY
DBQ,Dubuque,IA
DUF,Duck,NC
DC3,Ducktown,TN
DCO,Ducor,CA
DKU,Dudley,MA
UD4,Dudley,MO
DHU,Dudley,NC
D2G,Duenweg,MO
DUD,Duffield,VA
DU2,Dufur,OR
DPG,Dugway,UT
DUK,Duke,OK
LLH,Dulles,VA
IAD,Dulles Int Apt/Washington,VA
DGA,Duluth,GA
DLH,Duluth,MN
DZU,Dulzura,CA
DMS,Dumas,AR
DS2,Dumas,MS
DUX,Dumas,TX
DFS,Dumfries,VA
DMJ,Dumont,NJ
DBJ,Dunbar,WI
DWV,Dunbar,WV
DUE,Dunbridge,OH
DUC,Duncan,OK
DNK,Duncan,SC
ZC4,Duncan Falls,OH
DUV,Duncansville,PA
DV3,Duncanville,TX
DU7,Duncombe,IA
DDQ,Dundalk,MD
UDS,Dundas,MN
DYU,Dundee,FL
DYI,Dundee,IL
DND,Dundee,MI
DYK,Dundee,NY
DE4,Dundee,OH
UEZ,Dundee,OR
DNB,Dunedin,FL
DUL,Dunellen,NJ
DKD,Dunkirk,IN
K44,Dunkirk,MD
DKK,Dunkirk,NY
DKI,Dunkirk,OH
DZP,Dunlap,IA
DJR,Dunlap,IL
ULJ,Dunlap,IN
UNL,Dunlap,TN
DNZ,Dunmore,PA
DU3,Dunmore,WV
DUZ,Dunn,NC
DUM,Dunn,SC
DFU,Dunnellon,FL
DIG,Dunnigan,CA
DNV,Dunnville,KY
DUN,Dunseith,ND
DSE,Dunstable,MA
DW3,Dunwoody,GA
DUP,Dupo,IL
DPN,Dupont,CO
PUD,Dupont,PA
PUP,Dupont,WA
ZDQ,Duquesne,PA
DUQ,Duquoin,IL
DDI,Durand,IL
RUD,Durand,MI
DXD,Durand,WI
DRO,Durango,CO
URA,Durant,MS
DUA,Durant,OK
DJB,Durbin,ND
DUW,Durbin,WV
DH8,Durham,CA
DHQ,Durham,CT
DUR,Durham,NC
DH2,Durham,NH
DHH,Durham,OR
DXH,Durham,PA
RDU,Durham-Raleigh Apt,NC
UEE,Durkee,OR
DYA,Duryea,PA
DUS,Dushore,PA
DUT,Dutch Harbor,AK
ZDU,Dutton,AL
DU8,Dutton,MI
ZDZ,Dutzow,MO
DZA,Duvall,WA
DUH,Duxbury,MA
DWI,Dwight,IL
DVG,Dwight,ND
DYQ,Dyer,IN
YEX,Dyer,NV
DYS,Dyer,TN
DYR,Dyersburg,TN
DYE,Dyersville,IA
DZY,Dysart,IA
XED,Eads,TN
UFS,Eagan,MN
E4G,Eagar,AZ
EAA,Eagle,AK
EG3,Eagle,CO
G9L,Eagle,ID
EEJ,Eagle,NE
EGL,Eagle,PA
XXP,Eagle,WI
DMQ,Eagle Bridge,NY
EB8,Eagle Butte,SD
E3C,Eagle Creek,OR
EGF,Eagle Grove,IA
ELA,Eagle Lake,TX
EGP,Eagle Pass,TX
EAG,Eagle Point,NJ
ERQ,Eagle River,AK
EGV,Eagle River,WI
EGR,Eagle Rock,CA
YGK,Eagle Rock,MO
ER3,"Eagle Rock, Botetourt",VA
E8S,Eagle Springs,NC
YEA,"Eagle, Ada",ID
E33,Eagles Mere,PA
EGJ,Eagleville,MO
EAV,Eagleville,PA
E2G,Eagleville,TN
QEY,Eakly,OK
ERE,Earl,NC
EPA,Earl Park,IN
EAM,Earle,AR
EAE,Earle,NJ
EYM,Earlimart,CA
QEO,Earlington,KY
QEV,Earlville,IA
8EV,Earlville,IL
EYB,Early Branch,SC
ETC,Earth City,MO
EAL,Easley,SC
EBU,East Alburg,VT
EOL,East Alton,IL
EAO,East Aurora,NY
EGB,East Bangor,PA
EBD,East Bend,NC
AAV,East Berlin,CT
EBL,East Berlin,PA
TBE,East Bernard,TX
ETD,East Bernstadt,KY
ZTB,East Bloomfield,NY
EBN,East Boston,MA
D4B,East Branch,NY
EBC,East Bridgeport,CT
EAB,East Bridgewater,MA
EBQ,East Brookfield,MA
EBR,East Brunswick,NJ
EBT,East Butler,PA
ECM,East Cambridge,MA
ECN,East Camden,AR
ECZ,East Canton,OH
TCD,East Carondelet,IL
EQN,East Chatham,NY
ECH,East Chicago,IN
ECL,East Clinton,IL
ECX,East Concord,NY
EZV,East Danville,VA
TDN,East Dennis,MA
EJO,East Dorset,VT
EDO,East Douglas,MA
EDU,East Dublin,GA
EQE,East Dubuque,IL
9ED,East Dundee,IL
ED8,East Durham,NY
EE3,East Earl,PA
EHU,East Elmhurst,NY
4HE,East Fairfield,OH
ZEF,East Falmouth,MA
EFR,East Farmingdale,NY
YEF,East Fayetteville,NC
